"Key";"Type";"Desc";"English";"Українська [uk]";"Svenska [sv]";"Français [fr]";"Italiano [it]";"Deutsch [de]";"Español [es]";"Polski [pl]";"Português-Brasil";"中文 [zh-CN]";"日本語 [ja]";"한국어 [ko]";"Pусский [ru]"
"Block/Roof_Corner_Thatch";"Text";;"Thatch roof corner@Covers your head.";;"Palmbladstakhörna@Täcker ditt huvud.";"Angle de toit en chaume@Vous protège.";"Angolo per tetto in paglia@Per avere qualcosa sopra la testa.";"Reetdachecke@Ein Dach über dem Kopf.";"Esquina de tejado de juncos@Te cubre por arriba.";"Róg słomianego dachu@Chroni twoją głowę.";"Teto de palha de canto@Protege sua cabeça.";"茅草屋顶外延@为你遮风挡雨。";"ふきわらの屋根のかど@頭上をカバーします。";"짚 지붕 모서리@머리를 덮습니다.";"Тростниковый угол крыши@Крыша над головой"
"Block/Roof_Corner_Tier3";"Text";;"Solid wooden roof corner@Covers your head.";;"Solid trätakhörna@Täcker ditt huvud.";"Angle de toit en bois solide@Vous protège.";"Angolo per tetto in legno solido@Per avere qualcosa sopra la testa.";"Stabile Holzdachecke@Ein Dach über dem Kopf.";"Esquina de tejado firme de madera@Te mantiene a cubierto.";"Róg solidnego drewnianego dachu@Chroni twoją głowę.";"Teto sólido de madeira de canto@Protege sua cabeça.";"牢固木制屋顶外延@为你遮风挡雨。";"しっかりした木の屋根の角@頭上をカバーします。";"견고한 나무 지붕 모서리@머리를 덮습니다.";"Прочный деревянный угол крыши@Крыша над головой."
"Block/Roof_Corner_Wood";"Text";;"Wooden roof corner@Covers your head.";;"Trätakhörna@Täcker ditt huvud.";"Angle de toit en bois@Vous protège.";"Angolo per tetto in legno@Per avere qualcosa sopra la testa.";"Holzdachecke@Ein Dach über dem Kopf.";"Esquina de tejado de madera@Te cubre por arriba.";"Róg drewnianego dachu@Chroni twoją głowę.";"Teto de madeira de canto@Protege sua cabeça.";"木制屋顶外延@为你遮风挡雨。";"木の屋根のかど@頭上をカバーします。";"너무 지붕 모서리@머리를 덮습니다.";"Деревянный угол крыши@Крыша над головой"
"Block/Roof_EndCap_Thatch";"Text";;"Thatch roof endcap@Covers your head.";;"Palmbladsslutbit@Täcker ditt huvud.";"Bouchon d'extrémité en chaume pour toit@Vous protège.";"Colmo per tetto in paglia@Per avere qualcosa sopra la testa.";"Reetdachortgang@Ein Dach über dem Kopf.";"Remate de tejado de juncos@Te mantiene a cubierto.";"Zakończenie kalenicy słomianego dachu@Chroni twoją głowę.";"Final de cumeeira de teto de palha@Protege sua cabeça.";"茅草屋顶封端@为你遮风挡雨。";"ふきわらの屋根の棟@頭上をカバーします。";"짚 지붕 마감부@머리를 덮습니다.";"Тростниковая заглушка для крыши@Крыша над головой."
"Block/Roof_EndCap_Tier3";"Text";;"Solid wooden roof endcap@Covers your head.";;"Solid träslutbit@Täcker ditt huvud.";"Bouchon d'extrémité en bois pour toit solide@Vous protège.";"Colmo per tetto in legno solido@Per avere qualcosa sopra la testa.";"Stabiler Holzdachortgang@Ein Dach über dem Kopf.";"Remate de tejado firme de madera@Te mantiene a cubierto.";"Zakończenie kalenicy solidnego drewnianego dachu@Chroni twoją głowę.";"Final de cumeeira de teto sólido de madeira@Protege sua cabeça.";"牢固木制屋顶封端@为你遮风挡雨。";"しっかりした木の屋根の棟@頭上をカバーします。";"견고한 나무 지붕 마감부@머리를 덮습니다.";"Прочная деревянная заглушка для крыши@Крыша над головой."
"Block/Roof_EndCap_Wood";"Text";;"Wooden roof endcap@Covers your head.";;"Träslutbit@Täcker ditt huvud.";"Bouchon d'extrémité en bois pour toit@Vous protège.";"Colmo per tetto in legno@Per avere qualcosa sopra la testa.";"Holzdachortgang@Ein Dach über dem Kopf.";"Remate de tejado de madera@Te mantiene a cubierto.";"Zakończenie kalenicy drewnianego dachu@Chroni twoją głowę.";"Final de cumeeira de teto de madeira@Protege sua cabeça.";"木制屋顶封端@为你遮风挡雨。";"木の屋根の棟@頭上をカバーします。";"나무 지붕 마감부@머리를 덮습니다.";"Деревянная заглушка для крыши@Крыша над головой."
"Block/Roof_InvCorner_Thatch";"Text";;"Inverted thatch roof corner@Covers your head.";;"Inverterad palmbladstakhörna@Täcker ditt huvud.";"Angle de toit inversé en chaume@Vous protège.";"Angolo di tetto di paglia invertito@Ti tiene al riparo.";"Umgekehrte Reetdachecke@Ein Dach über dem Kopf.";"Esquina de tejado de juncos invertida@Te cubre por arriba.";"Odwrócony róg słomianego dachu@Chroni twoją głowę.";"Teto de palha de canto invertido@Protege sua cabeça.";"翻转的茅草屋顶的一角@遮挡。";"逆さまのふきわらの屋根のかど@頭上をカバーします。";"구부러진 짚 지붕 코너@머리를 덮습니다.";"Выгнутый тростниковый угол крыши@Крыша над головой."
"Block/Roof_InvCorner_Tier3";"Text";;"Inverted solid wooden roof corner@Covers your head.";;"Inverterad solid trätakhörna@Täcker ditt huvud.";"Angle de toit inversé en bois solide@Vous protège.";"Angolo per tetto in legno solido invertito@Per avere qualcosa sopra la testa.";"Stabile umgekehrte Holzdachecke@Ein Dach über dem Kopf.";"Esquina invertida de tejado firme de madera@Te mantiene a cubierto.";"Odwrócony róg solidnego drewnianego dachu@Chroni twoją głowę.";"Teto sólido de madeira de canto invertido@Protege sua cabeça.";"翻转的牢固木制屋顶外延@为你遮风挡雨。";"逆さまのしっかりした木の屋根の角@頭上をカバーします。";"뒤집힌 견고한 나무 지붕 모서리@머리를 덮습니다.";"Выгнутый прочный деревянный угол крыши@Крыша над головой."
"Block/Roof_InvCorner_Wood";"Text";;"Inverted wooden roof corner@Covers your head.";;"Inverterad trätakhörna@Täcker ditt huvud.";"Angle de toit inversé en bois@Vous protège.";"Angolo di tetto in legno invertito@Ti tiene al riparo.";"Umgekehrte Holzdachecke@Ein Dach über dem Kopf.";"Esquina de tejado de madera invertida@Te cubre por arriba.";"Odwrócony róg drewnianego dachu@Chroni twoją głowę.";"Teto de madeira de canto invertido@Protege sua cabeça.";"翻转的木屋顶的一角@遮挡。";"逆さまの木の屋根のかど@頭上をカバーします。";"구부러진 나무 지붕 코너@머리를 덮습니다.";"Выгнутый деревянный угол крыши@Крыша над головой."
"Block/Roof_LJunction_Thatch";"Text";;"Thatch L-junction@Covers your head.";;"L-format palmbladstak@Täcker ditt huvud.";"Jonction en L en chaume@Vous protège.";"Giunzione a L in paglia@Per avere qualcosa sopra la testa.";"Reet-L-Verbindung@Ein Dach über dem Kopf.";"Unión en forma de L de juncos@Te da un techo.";"Słomiane naroże@Chroni twoją głowę.";"Junção em L de palha@Cobre sua cabeça.";"茅草L型交叉@为你遮风挡雨。";"ふきわらのL字屋根@頭上を覆ってくれる。";"짚 L 접합부@머리를 덮습니다.";"Тростниковое L-соединение@Крыша над головой."
"Block/Roof_LJunction_Tier3";"Text";;"Solid wooden L-junction@Covers your head.";;"L-format solitt trätak@Täcker ditt huvud.";"Jonction en L en bois solide@Vous protège.";"Giunzione a L in legno solido@Per avere qualcosa sopra la testa.";"Massivholz-L-Verbindung@Ein Dach über dem Kopf.";"Unión en forma de L de madera firme@Te da un techo.";"Solidne drewniane naroże@Chroni twoją głowę.";"Junção em L sólida de madeira@Cobre sua cabeça.";"牢固木头L型交叉@为你遮风挡雨。";"強固な木のL字屋根@頭上を覆ってくれる。";"견고한 나무 L 접합부@머리를 덮습니다.";"Прочное деревянное L-соединение@Крыша над головой."
"Block/Roof_LJunction_Wood";"Text";;"Wooden L-junction@Covers your head.";;"L-format trätak@Täcker ditt huvud.";"Jonction en L en bois@Vous protège.";"Giunzione a L in legno@Per avere qualcosa sopra la testa.";"Hölzerne L-Verbindung@Ein Dach über dem Kopf.";"Unión en forma de L de madera@Te da un techo.";"Drewniane naroże@Chroni twoją głowę.";"Junção em L de madeira@Cobre sua cabeça.";"木头L型交叉@为你遮风挡雨。";"木のL字屋根@頭上を覆ってくれる。";"나무 L 접합부@머리를 덮습니다.";"Деревянное L-соединение@Крыша над головой."
"Block/Roof_Pyramid_Thatch";"Text";;"Thatch roof pyramid@Covers your head.";;"Pyramidformat palmbaldstak@Täcker ditt huvud.";"Toit pyramidal en chaume@Vous protège.";"Tetto in paglia piramidale@Per avere qualcosa sopra la testa.";"Reetdachpyramide@Ein Dach über dem Kopf.";"Tejado de juncos piramidal@Te mantiene a cubierto.";"Piramida słomianego dachu@Chroni twoją głowę.";"Teto piramidal de palha@Protege sua cabeça.";"茅草屋顶角锥@为你遮风挡雨。";"ピラミッド型のふきわらの屋根@頭上をカバーします。";"짚 지붕 피라미드@머리를 덮습니다.";"Тростниковая пирамида для крыши@Крыша над головой."
"Block/Roof_Pyramid_Tier3";"Text";;"Solid wooden roof pyramid@Covers your head.";;"Pyramidformat solitt trätak@Täcker ditt huvud.";"Toit pyramidal solide en bois@Vous protège.";"Tetto in legno piramidale solido@Per avere qualcosa sopra la testa.";"Stabile Holzdachpyramide@Ein Dach über dem Kopf.";"Tejado firme de madera piramidal@Te mantiene a cubierto.";"Piramida solidnego drewnianego dachu@Chroni twoją głowę.";"Teto sólido piramidal de madeira@Protege sua cabeça.";"牢固木制屋顶角锥@为你遮风挡雨。";"しっかりしたピラミッド型の木の屋根@頭上をカバーします。";"견고한 나무 지붕 피라미드@머리를 덮습니다.";"Прочная деревянная пирамида для крыши@Крыша над головой."
"Block/Roof_Pyramid_Wood";"Text";;"Wooden roof pyramid@Covers your head.";;"Pyramidformat trätak@Täcker ditt huvud.";"Toit pyramidal en bois@Vous protège.";"Tetto in legno piramidale@Per avere qualcosa sopra la testa.";"Holzdachpyramide@Ein Dach über dem Kopf.";"Tejado de madera piramidal@Te mantiene a cubierto.";"Piramida drewnianego dachu@Chroni twoją głowę.";"Teto piramidal de madeira@Protege sua cabeça.";"木制屋顶角锥@为你遮风挡雨。";"ピラミッド型の木の屋根@頭上をカバーします。";"나무 지붕 피라미드@머리를 덮습니다.";"Деревянная пирамида для крыши@Крыша над головой."
"Block/Roof_StraightV_Thatch";"Text";;"Thatch double roof@Covers your head.";;"Dubbelt palmbladstak@Täcker ditt huvud.";"Double toit en chaume@Vous protège.";"Doppio tetto in paglia@Per avere qualcosa sopra la testa.";"Reetgiebeldach@Ein Dach über dem Kopf.";"Tejado hastial de juncos@Te mantiene a cubierto.";"Słomiany dach dwuspadowy@Chroni twoją głowę.";"Telhado de palha duplo@Protege sua cabeça.";"茅草人字屋顶@为你遮风挡雨。";"ふきわらの切妻屋根@頭上をカバーします。";"짚 이중 지붕@머리를 덮습니다.";"Тростниковая двойная крыша@Крыша над головой"
"Block/Roof_StraightV_Tier3";"Text";;"Solid wooden double roof@Covers your head.";;"Dubbelt solitt trätak@Täcker ditt huvud.";"Double toit en bois solide@Vous protège.";"Doppio tetto in legno solido@Per avere qualcosa sopra la testa.";"Stabiles Holzgiebeldach@Ein Dach über dem Kopf.";"Tejado hastial de madera firme @Te mantiene a cubierto.";"Solidny drewniany dach dwuspadowy@Chroni twoją głowę.";"Telhado sólido de madeira duplo@Protege sua cabeça.";"牢固木制人字屋顶@为你遮风挡雨。";"しっかりした木の切妻屋根@頭上をカバーします。";"견고한 나무 이중 지붕@머리를 덮습니다.";"Прочная деревянная двойная крыша@Крыша над головой"
"Block/Roof_StraightV_Wood";"Text";;"Wooden double roof@Covers your head.";;"Dubbelt trätak@Täcker ditt huvud.";"Double toit en bois@Vous protège.";"Doppio tetto in legno@Per avere qualcosa sopra la testa.";"Holzgiebeldach@Ein Dach über dem Kopf.";"Tejado hastial de madera@Te mantiene a cubierto.";"Drewniany dach dwuspadowy@Chroni twoją głowę.";"Telhado de madeira duplo@Protege sua cabeça.";"木制人字屋顶@为你遮风挡雨。";"木の切妻屋根@頭上をカバーします。";"나무 이중 지붕@머리를 덮습니다.";"Деревянная двойная крыша@Крыша над головой"
"Block/Roof_Straight_Thatch";"Text";;"Thatch roof@Covers your head.";;"Palmbladstak@Täcker ditt huvud.";"Toit en chaume@Vous protège.";"Tetto in paglia@Per avere qualcosa sopra la testa.";"Reetdach@Ein Dach über dem Kopf.";"Tejado de juncos@Te cubre por arriba.";"Słomiany dach@Chroni twoją głowę.";"Teto de palha@Protege sua cabeça.";"茅草屋顶@为你遮风挡雨。";"ふきわらの屋根@頭上をカバーします。";"짚 지붕@머리를 덮습니다.";"Тростниковая крыша@Крыша над головой"
"Block/Roof_Straight_Tier3";"Text";;"Solid wooden roof@Covers your head.";;"Solitt trätak@Täcker ditt huvud.";"Toit en bois solide@Vous protège.";"Tetto in legno solido@Per avere qualcosa sopra la testa.";"Stabiles Holzdach@Ein Dach über dem Kopf.";"Tejado firme de madera@Te mantiene a cubierto.";"Solidny drewniany dach@Chroni twoją głowę.";"Teto sólido de madeira@Protege sua cabeça.";"牢固木制屋顶@为你遮风挡雨。";"しっかりした木の屋根@頭上をカバーします。";"견고한 나무 지붕@머리를 덮습니다.";"Прочная деревянная крыша@Крыша над головой."
